"","Region","RegionName","StateName","MSAName","CountyName","CityName","ForecastYoYPctChange"
"274","County","Grady","OK","Oklahoma City","Grady",NA,8.2661934338953
"275","County","Grand","CO",NA,"Grand",NA,13.5461038961039
"276","County","Grant","IN","Marion","Grant",NA,-2.30193548387096
"277","County","Grant","KY","Cincinnati","Grant",NA,4.86778009742519
"278","County","Grant","LA","Alexandria","Grant",NA,11.0727883538634
"279","County","Grant","NM","Silver City","Grant",NA,0.433083956774727
"280","County","Grant","WA","Moses Lake","Grant",NA,1.21049493142515
"281","County","Grant","WI","Platteville","Grant",NA,5.18102766798418
"282","County","Green","WI","Madison","Green",NA,11.3593650793651
"283","County","Henry","GA","Atlanta","Henry",NA,7.48737980769232
"284","County","Henry","IN","New Castle","Henry",NA,0.498089171974514
"285","County","Henry","TN","Paris","Henry",NA,0.480533926585092
"286","County","Henry","VA","Martinsville","Henry",NA,4.66938775510204
"287","County","Horry","SC","Myrtle Beach","Horry",NA,3.95932597327135
"288","County","Idaho","ID",NA,"Idaho",NA,5.7211282597126
"289","County","Ionia","MI","Ionia","Ionia",NA,7.80991124260355
"290","County","Iosco","MI",NA,"Iosco",NA,5.68679775280898
"291","County","Irion","TX","San Angelo","Irion",NA,0.875936719400494
"292","County","Jones","GA","Macon","Jones",NA,4.95858498705781
"293","County","Jones","MS","Laurel","Jones",NA,-2.76818622696411
"294","County","Jones","TX","Abilene","Jones",NA,10.7025411061286
"295","County","Kauai","HI","Kapaa","Kauai",NA,0.102583443333959
"296","County","Kings","CA","Hanford","Kings",NA,1.98453865336659
"297","County","Kings","NY","New York","Kings",NA,7.91513056835638
"298","County","Kiowa","KS",NA,"Kiowa",NA,3.56521739130435
"299","County","Lamar","GA","Atlanta","Lamar",NA,3.83854606931531
"300","County","Lamar","MS","Hattiesburg","Lamar",NA,-0.361878453038678
"301","County","Latah","ID","Moscow","Latah",NA,-3.59882253994954
"302","County","Leake","MS",NA,"Leake",NA,2.34583821805392
"303","County","Lemhi","ID",NA,"Lemhi",NA,5.6760426770126
"304","County","Lewis","ID",NA,"Lewis",NA,8.37952755905511
"305","County","Lewis","TN",NA,"Lewis",NA,0.464821222606693
