Month,ZipCode,ZipName,Property Type,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
201804,46040,"Fortville, IN",Condo/Townhome/Row Home/Co-Op,,240525.000000,-0.0377,0.1623,1.5,0.5000,-0.2500,205.50,-0.1311,3.8929,2.0,,,0.0,,,0.0,,,0.0,,,240525.0000,-0.0378,0.1622,1.5,0.5000,-0.2500,0.0000,0.0000,0.0000
201804,46041,"Frankfort, IN",Condo/Townhome/Row Home/Co-Op,*,142500.000000,-0.3521,,2.0,3.0000,,3.50,-0.9941,-0.9873,8.0,,,0.0,,,0.0,,,0.0,,,142500.0000,-0.3522,-0.4519,2.0,3.0000,1.0000,0.0000,0.0000,0.0000
201804,46052,"Lebanon, IN",Condo/Townhome/Row Home/Co-Op,,129950.000000,0.0125,0.3686,1.0,-0.3333,-0.6667,310.00,0.4352,1.1233,0.0,,,0.0,,,0.0,,,0.0,,,129950.0000,0.0133,0.0947,1.0,-0.3333,-0.6667,0.0000,0.0000,0.0000
201804,46055,"McCordsville, IN",Condo/Townhome/Row Home/Co-Op,*,280450.000000,-0.0088,,1.0,0.0000,,43.00,2.7391,,0.0,,,0.0,,,2.0,,,0.0,,-1.0000,280450.0000,-0.0089,0.0388,1.0,0.0000,-0.5000,0.0000,0.0000,-1.0000
201804,46060,"Noblesville, IN",Condo/Townhome/Row Home/Co-Op,*,310045.000000,0.0517,,9.0,0.1250,0.5000,36.00,-0.3684,-0.1429,0.0,-1.0000,-1.0000,0.0,,,0.0,-1.0000,,3.0,0.2000,-0.6667,250953.0000,-0.1304,0.1042,12.0,0.1429,-0.2000,0.3333,0.0208,-1.1667
201804,46062,"Noblesville, IN",Condo/Townhome/Row Home/Co-Op,*,177950.000000,-0.0434,0.1481,1.0,-0.7500,,47.00,0.0930,0.8800,0.0,,-1.0000,0.0,,,0.0,,,0.0,-1.0000,-1.0000,181928.0000,-0.0055,0.1278,1.0,-0.8947,-0.8750,0.0000,-1.3750,-0.3333
201804,46064,"Pendleton, IN",Condo/Townhome/Row Home/Co-Op,*,210049.500000,-0.0590,0.1058,2.0,1.0000,,43.00,0.5780,-0.9005,0.0,,,0.0,,,2.0,,,0.0,-1.0000,-1.0000,210050.0000,-0.0413,0.1058,2.0,0.3333,1.0000,0.0000,-0.5000,
201804,46072,"Tipton, IN",Condo/Townhome/Row Home/Co-Op,,254950.000000,0.2751,2.0012,1.0,-0.5000,0.0000,201.00,0.3627,2.5263,0.0,,,0.0,,,0.0,,,0.0,,,243950.0000,0.2200,1.8716,1.0,-0.5000,0.0000,0.0000,0.0000,0.0000
201804,46074,"Westfield, IN",Condo/Townhome/Row Home/Co-Op,*,227050.000000,0.0537,,9.0,-0.1000,,35.00,-0.3204,,4.0,0.0000,0.0000,0.0,,,4.0,0.0000,,3.0,-0.6667,-0.5714,219440.0000,-0.0997,-0.0019,12.0,-0.3684,-0.5556,0.3333,-0.5667,-0.0167
201804,46075,"Whitestown, IN",Condo/Townhome/Row Home/Co-Op,*,200750.000000,-0.1270,,0.5,-0.5000,,31.50,-0.4425,,2.0,,,0.0,,,0.0,,,0.0,-1.0000,-1.0000,200750.0000,-0.1294,-0.0056,0.5,-0.7500,-0.8750,0.0000,-1.0000,-0.3333
