Month,ZipCode,ZipName,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
2018-04-01 00:00:00,50273,"Winterset, IA",,231050.000000,0.0478,-0.0610,46.0,0.2267,-0.0800,62.00,-0.4053,-0.2485,8.0,-0.5000,-0.5000,0.0,,,8.0,1.0000,0.0000,23.0,0.2778,-0.2813,266222.0000,-0.0059,-0.0788,69.0,0.2432,-0.1585,0.5000,0.0200,-0.1400
2018-04-01 00:00:00,50309,"Des Moines, IA",,189950.000000,-0.1128,-0.1753,28.0,0.0182,-0.2432,95.00,0.2667,0.0556,4.0,-0.5000,-0.7500,0.0,,,4.0,-0.3333,,22.0,0.1579,-0.3333,250798.0000,0.0438,0.0419,50.0,0.0753,-0.2857,0.7857,0.0948,-0.1062
2018-04-01 00:00:00,50310,"Des Moines, IA",,160000.000000,0.0663,0.1433,46.0,-0.0108,-0.1321,32.00,-0.0657,-0.2000,36.0,-0.2500,-0.4000,0.0,,,24.0,0.0909,0.0000,104.0,0.3775,-0.2571,167843.0000,0.0395,0.0601,150.0,0.2295,-0.2228,2.2609,0.6372,-0.3806
2018-04-01 00:00:00,50311,"Des Moines, IA",*,140050.000000,0.0000,0.0777,11.0,-0.1852,,38.00,-0.0318,0.0704,12.0,0.0000,-0.2500,0.0,,,4.0,-0.3333,0.0000,31.0,0.1071,-0.1842,172718.0000,0.0623,0.2823,42.0,0.0120,-0.2881,2.8182,0.7441,1.0087
2018-04-01 00:00:00,50312,"Des Moines, IA",*,264550.000000,-0.0378,0.2333,24.0,-0.0204,,38.00,-0.3846,0.0857,20.0,0.4286,0.0000,0.0,,,4.0,-0.7143,-0.6667,43.0,0.0617,-0.0652,361914.0000,0.1108,0.0314,67.0,0.0308,-0.2209,1.7917,0.1386,0.6417
2018-04-01 00:00:00,50313,"Des Moines, IA",*,202550.000000,0.3955,,35.0,-0.0667,-0.2553,62.00,-0.4364,0.1698,20.0,0.2500,0.0000,0.0,,,8.0,-0.3333,0.0000,55.0,0.1957,-0.1129,214470.0000,0.0748,0.4408,90.0,0.0778,-0.1743,1.5714,0.3448,0.2523
2018-04-01 00:00:00,50314,"Des Moines, IA",,119950.000000,0.1364,0.4195,13.0,0.0400,-0.1875,71.00,-0.1341,0.3654,8.0,3.0000,-0.3333,0.0,,,0.0,-1.0000,-1.0000,14.0,-0.1765,0.0769,119771.0000,0.0609,0.2063,27.0,-0.0847,-0.0690,1.0769,-0.2831,0.2644
2018-04-01 00:00:00,50315,"Des Moines, IA",,114950.000000,0.0322,0.0000,52.0,0.0000,-0.2676,40.00,0.0526,-0.0698,40.0,-0.0909,-0.3333,0.0,,,16.0,-0.1111,-0.2000,89.0,0.0471,-0.2705,117216.0000,0.0126,-0.1802,141.0,0.0292,-0.2694,1.7115,0.0769,-0.0068
2018-04-01 00:00:00,50316,"Des Moines, IA",*,109550.000000,0.0436,,29.0,0.1154,,48.00,0.5610,,24.0,0.3333,1.0000,0.0,,,12.0,1.0000,0.5000,32.0,-0.2000,0.0000,104683.0000,0.0155,0.1684,61.0,-0.0758,0.1731,1.1034,-0.4350,-0.4966
2018-04-01 00:00:00,50317,"Des Moines, IA",*,148500.000000,0.0000,,71.0,-0.0839,,59.50,0.1442,,48.0,-0.0400,0.0909,4.0,,,12.0,-0.4545,0.0000,116.0,0.3107,0.0450,193539.0000,0.0435,0.0447,187.0,0.1265,0.1265,1.6338,0.4919,-0.3844
